"osf","id","paper","experiment","effect","internalReplication","resulto","resultr","smdo","so","smdr","sr","effectType","ESo","seESo","lowerESo","upperESo","po","ESr","seESr","lowerESr","upperESr","pr","no","nr"
"https://osf.io/oblj1/","(24, 1, 3, 1)",24,1,3,1,"Positive","Null-positive",5.653017,2.27890769179015,0.1556105,0.709690591751572,"Glass' delta",5.653017,2.413732,1.227296,10.16045,0.0007419815,0.1556105,0.7099548,-1.2475,1.534436,0.8291362,8,8
"https://osf.io/oblj1/","(24, 1, 4, 1)",24,1,4,1,"Positive","Null-positive",3.252155,1.43884327581754,0.3363867,0.719103774925104,"Glass' delta",3.252155,1.504245,0.407338,6.0475,0.004015118,0.3363867,0.7203189,-1.098502,1.720333,0.6850368,8,8
"https://osf.io/oblj1/","(24, 1, 5, 1)",24,1,5,1,"Positive","Positive",8.586207,3.35912396958917,2.484508,1.19264523146253,"Glass' delta",8.586207,3.575914,2.109776,15.2773,0.0003724277,2.484508,1.236445,0.1009866,4.77607,0.01547023,8,8
"https://osf.io/oblj1/","(24, 2, 1, 1)",24,2,1,1,"Positive","Negative",2.704109,1.03920519257806,-1.917353,0.715671058786915,"Cohen's d",2.704109,1.216196,0.6200775,4.693687,0.008718023,-1.917353,0.7877655,-3.289486,-0.484107,0.007735024,8,12
"https://osf.io/oblj1/","(24, 2, 2, 1)",24,2,2,1,"Positive","Negative",4.625142,1.91101437554168,-1.441733,0.727740494851349,"Glass' delta",4.625142,2.016264,0.8937053,8.384744,0.01214254,-1.441733,0.735658,-2.826101,0.02658932,0.0106408,8,12
"https://osf.io/oblj1/","(24, 2, 3, 1)",24,2,3,1,"Positive","Negative",5.519549,1.703122111595,-2.789833,0.843491774869507,"Cohen's d",5.519549,2.012887,2.156096,8.832212,0.0002331278,-2.789833,0.931123,-4.411396,-1.104969,0.0006895721,8,12
"https://osf.io/oblj1/","(24, 2, 4, 1)",24,2,4,1,"Positive","Negative",4.569352,1.46555397071445,-2.551886,0.80613149652889,"Cohen's d",4.569352,1.728165,1.66362,7.408486,0.0006512861,-2.551886,0.8892285,-4.100061,-0.9400836,0.00129412,8,12
"https://osf.io/oblj1/","(24, 2, 5, 1)",24,2,5,1,"Positive","Negative",5.195923,2.1142495641176,-2.293205,0.909858504577821,"Glass' delta",5.195923,2.235979,1.081294,9.369,0.0005563789,-2.293205,0.9269369,-4.037522,-0.4709422,0.001362887,8,12
"https://osf.io/oblj1/","(24, 2, 6, 1)",24,2,6,1,"Positive","Negative",6.038505,2.41882480361624,-3.154098,1.12482046475837,"Glass' delta",6.038505,2.564616,1.348041,10.82966,0.0007993519,-3.154098,1.152461,-5.328959,-0.9197438,0.0003991548,8,10
"https://osf.io/oblj1/","(24, 3, 1, 1)",24,3,1,1,"Positive","Null-positive",5.508277,1.70025547728727,1.48191,0.960299099802942,"Cohen's d",5.508277,2.009453,2.150352,8.815231,0.0002357769,1.48191,1.188175,-0.4619813,3.302322,0.143716,8,6
"https://osf.io/oblj1/","(24, 3, 2, 1)",24,3,2,1,"Positive","Positive",6.479283,1.95046619741694,4.413548,1.70393513673861,"Cohen's d",6.479283,2.308946,2.638413,10.2841,9.512535e-05,4.413548,2.156939,1.040123,7.719426,0.005671521,8,6
